id,type,book,chapter,verse,text,normalized_text
1,verse,Genesis,1,1,आदि में परमेश्वर ने आकाश और पृथ्वी की सृष्टि की।,आदि में परमेश्वर ने आकाश और पृथ्वी की सृष्टि की।
2,verse,Genesis,1,2,और पृथ्वी बेडौल और सुनसान पड़ी थी; और गहरे जल के ऊपर अन्धियारा था: तथा परमेश्वर का आत्मा जल के ऊपर मण्डलाता था।,और पृथ्वी बेडौल और सुनसान पड़ी थी; और गहरे जल के ऊपर अन्धियारा था: तथा परमेश्वर का आत्मा जल के ऊपर मण्डलाता था।
3,verse,Genesis,1,3,"तब परमेश्वर ने कहा, उजियाला हो: तो उजियाला हो गया।","तब परमेश्वर ने कहा, उजियाला हो: तो उजियाला हो गया।"
4,verse,Genesis,1,4,और परमेश्वर ने उजियाले को देखा कि अच्छा है; और परमेश्वर ने उजियाले को अन्धियारे से अलग किया।,और परमेश्वर ने उजियाले को देखा कि अच्छा है; और परमेश्वर ने उजियाले को अन्धियारे से अलग किया।
5,verse,Genesis,1,5,और परमेश्वर ने उजियाले को दिन और अन्धियारे को रात कहा। तथा सांझ हुई फिर भोर हुआ। इस प्रकार पहिला दिन हो गया॥,और परमेश्वर ने उजियाले को दिन और अन्धियारे को रात कहा। तथा सांझ हुई फिर भोर हुआ। इस प्रकार पहिला दिन हो गया॥
6,verse,Genesis,1,6,"फिर परमेश्वर ने कहा, जल के बीच एक ऐसा अन्तर हो कि जल दो भाग हो जाए।","फिर परमेश्वर ने कहा, जल के बीच एक ऐसा अन्तर हो कि जल दो भाग हो जाए।"
7,verse,Genesis,1,7,तब परमेश्वर ने एक अन्तर करके उसके नीचे के जल और उसके ऊपर के जल को अलग अलग किया; और वैसा ही हो गया।,तब परमेश्वर ने एक अन्तर करके उसके नीचे के जल और उसके ऊपर के जल को अलग अलग किया; और वैसा ही हो गया।
8,verse,Genesis,1,8,और परमेश्वर ने उस अन्तर को आकाश कहा। तथा सांझ हुई फिर भोर हुआ। इस प्रकार दूसरा दिन हो गया॥,और परमेश्वर ने उस अन्तर को आकाश कहा। तथा सांझ हुई फिर भोर हुआ। इस प्रकार दूसरा दिन हो गया॥
9,verse,Genesis,1,9,"फिर परमेश्वर ने कहा, आकाश के नीचे का जल एक स्थान में इकट्ठा हो जाए और सूखी भूमि दिखाई दे; और वैसा ही हो गया।","फिर परमेश्वर ने कहा, आकाश के नीचे का जल एक स्थान में इकट्ठा हो जाए और सूखी भूमि दिखाई दे; और वैसा ही हो गया।"
10,verse,Genesis,1,10,और परमेश्वर ने सूखी भूमि को पृथ्वी कहा; तथा जो जल इकट्ठा हुआ उसको उसने समुद्र कहा: और परमेश्वर ने देखा कि अच्छा है।,और परमेश्वर ने सूखी भूमि को पृथ्वी कहा; तथा जो जल इकट्ठा हुआ उसको उसने समुद्र कहा: और परमेश्वर ने देखा कि अच्छा है।
11,verse,Genesis,1,11,"फिर परमेश्वर ने कहा, पृथ्वी से हरी घास, तथा बीज वाले छोटे छोटे पेड़, और फलदाई वृक्ष भी जिनके बीज उन्ही में एक एक की जाति के अनुसार होते हैं पृथ्वी पर उगें; और वैसा ही हो गया।","फिर परमेश्वर ने कहा, पृथ्वी से हरी घास, तथा बीज वाले छोटे छोटे पेड़, और फलदाई वृक्ष भी जिनके बीज उन्ही में एक एक की जाति के अनुसार होते हैं पृथ्वी पर उगें; और वैसा ही हो गया।"
12,verse,Genesis,1,12,"तो पृथ्वी से हरी घास, और छोटे छोटे पेड़ जिन में अपनी अपनी जाति के अनुसार बीज होता है, और फलदाई वृक्ष जिनके बीज एक एक की जाति के अनुसार उन्ही में होते हैं उगे; और परमेश्वर ने देखा कि अच्छा है।","तो पृथ्वी से हरी घास, और छोटे छोटे पेड़ जिन में अपनी अपनी जाति के अनुसार बीज होता है, और फलदाई वृक्ष जिनके बीज एक एक की जाति के अनुसार उन्ही में होते हैं उगे; और परमेश्वर ने देखा कि अच्छा है।"
13,verse,Genesis,1,13,तथा सांझ हुई फिर भोर हुआ। इस प्रकार तीसरा दिन हो गया॥,तथा सांझ हुई फिर भोर हुआ। इस प्रकार तीसरा दिन हो गया॥
14,verse,Genesis,1,14,"फिर परमेश्वर ने कहा, दिन को रात से अलग करने के लिये आकाश के अन्तर में ज्योतियां हों; और वे चिन्हों, और नियत समयों, और दिनों, और वर्षों के कारण हों।","फिर परमेश्वर ने कहा, दिन को रात से अलग करने के लिये आकाश के अन्तर में ज्योतियां हों; और वे चिन्हों, और नियत समयों, और दिनों, और वर्षों के कारण हों।"
15,verse,Genesis,1,15,और वे ज्योतियां आकाश के अन्तर में पृथ्वी पर प्रकाश देने वाली भी ठहरें; और वैसा ही हो गया।,और वे ज्योतियां आकाश के अन्तर में पृथ्वी पर प्रकाश देने वाली भी ठहरें; और वैसा ही हो गया।
16,verse,Genesis,1,16,"तब परमेश्वर ने दो बड़ी ज्योतियां बनाईं; उन में से बड़ी ज्योति को दिन पर प्रभुता करने के लिये, और छोटी ज्योति को रात पर प्रभुता करने के लिये बनाया: और तारागण को भी बनाया।","तब परमेश्वर ने दो बड़ी ज्योतियां बनाईं; उन में से बड़ी ज्योति को दिन पर प्रभुता करने के लिये, और छोटी ज्योति को रात पर प्रभुता करने के लिये बनाया: और तारागण को भी बनाया।"
17,verse,Genesis,1,17,"परमेश्वर ने उन को आकाश के अन्तर में इसलिये रखा कि वे पृथ्वी पर प्रकाश दें,","परमेश्वर ने उन को आकाश के अन्तर में इसलिये रखा कि वे पृथ्वी पर प्रकाश दें,"
18,verse,Genesis,1,18,तथा दिन और रात पर प्रभुता करें और उजियाले को अन्धियारे से अलग करें: और परमेश्वर ने देखा कि अच्छा है।,तथा दिन और रात पर प्रभुता करें और उजियाले को अन्धियारे से अलग करें: और परमेश्वर ने देखा कि अच्छा है।
19,verse,Genesis,1,19,तथा सांझ हुई फिर भोर हुआ। इस प्रकार चौथा दिन हो गया॥,तथा सांझ हुई फिर भोर हुआ। इस प्रकार चौथा दिन हो गया॥
20,verse,Genesis,1,20,"फिर परमेश्वर ने कहा, जल जीवित प्राणियों से बहुत ही भर जाए, और पक्षी पृथ्वी के ऊपर आकाश के अन्तर में उड़ें।","फिर परमेश्वर ने कहा, जल जीवित प्राणियों से बहुत ही भर जाए, और पक्षी पृथ्वी के ऊपर आकाश के अन्तर में उड़ें।"
21,verse,Genesis,1,21,"इसलिये परमेश्वर ने जाति जाति के बड़े बड़े जल-जन्तुओं की, और उन सब जीवित प्राणियों की भी सृष्टि की जो चलते फिरते हैं जिन से जल बहुत ही भर गया और एक एक जाति के उड़ने वाले पक्षियों की भी सृष्टि की: और परमेश्वर ने देखा कि अच्छा है।","इसलिये परमेश्वर ने जाति जाति के बड़े बड़े जल-जन्तुओं की, और उन सब जीवित प्राणियों की भी सृष्टि की जो चलते फिरते हैं जिन से जल बहुत ही भर गया और एक एक जाति के उड़ने वाले पक्षियों की भी सृष्टि की: और परमेश्वर ने देखा कि अच्छा है।"
22,verse,Genesis,1,22,"और परमेश्वर ने यह कहके उनको आशीष दी, कि फूलो-फलो, और समुद्र के जल में भर जाओ, और पक्षी पृथ्वी पर बढ़ें।","और परमेश्वर ने यह कहके उनको आशीष दी, कि फूलो-फलो, और समुद्र के जल में भर जाओ, और पक्षी पृथ्वी पर बढ़ें।"
23,verse,Genesis,1,23,तथा सांझ हुई फिर भोर हुआ। इस प्रकार पांचवां दिन हो गया।,तथा सांझ हुई फिर भोर हुआ। इस प्रकार पांचवां दिन हो गया।
24,verse,Genesis,1,24,"फिर परमेश्वर ने कहा, पृथ्वी से एक एक जाति के जीवित प्राणी, अर्थात घरेलू पशु, और रेंगने वाले जन्तु, और पृथ्वी के वनपशु, जाति जाति के अनुसार उत्पन्न हों; और वैसा ही हो गया।","फिर परमेश्वर ने कहा, पृथ्वी से एक एक जाति के जीवित प्राणी, अर्थात घरेलू पशु, और रेंगने वाले जन्तु, और पृथ्वी के वनपशु, जाति जाति के अनुसार उत्पन्न हों; और वैसा ही हो गया।"
25,verse,Genesis,1,25,"सो परमेश्वर ने पृथ्वी के जाति जाति के वन पशुओं को, और जाति जाति के घरेलू पशुओं को, और जाति जाति के भूमि पर सब रेंगने वाले जन्तुओं को बनाया: और परमेश्वर ने देखा कि अच्छा है।","सो परमेश्वर ने पृथ्वी के जाति जाति के वन पशुओं को, और जाति जाति के घरेलू पशुओं को, और जाति जाति के भूमि पर सब रेंगने वाले जन्तुओं को बनाया: और परमेश्वर ने देखा कि अच्छा है।"
26,verse,Genesis,1,26,"फिर परमेश्वर ने कहा, हम मनुष्य को अपने स्वरूप के अनुसार अपनी समानता में बनाएं; और वे समुद्र की मछलियों, और आकाश के पक्षियों, और घरेलू पशुओं, और सारी पृथ्वी पर, और सब रेंगने वाले जन्तुओं पर जो पृथ्वी पर रेंगते हैं, अधिकार रखें।","फिर परमेश्वर ने कहा, हम मनुष्य को अपने स्वरूप के अनुसार अपनी समानता में बनाएं; और वे समुद्र की मछलियों, और आकाश के पक्षियों, और घरेलू पशुओं, और सारी पृथ्वी पर, और सब रेंगने वाले जन्तुओं पर जो पृथ्वी पर रेंगते हैं, अधिकार रखें।"
27,verse,Genesis,1,27,"तब परमेश्वर ने मनुष्य को अपने स्वरूप के अनुसार उत्पन्न किया, अपने ही स्वरूप के अनुसार परमेश्वर ने उसको उत्पन्न किया, नर और नारी करके उसने मनुष्यों की सृष्टि की।","तब परमेश्वर ने मनुष्य को अपने स्वरूप के अनुसार उत्पन्न किया, अपने ही स्वरूप के अनुसार परमेश्वर ने उसको उत्पन्न किया, नर और नारी करके उसने मनुष्यों की सृष्टि की।"
28,verse,Genesis,1,28,"और परमेश्वर ने उन को आशीष दी: और उन से कहा, फूलो-फलो, और पृथ्वी में भर जाओ, और उसको अपने वश में कर लो; और समुद्र की मछलियों, तथा आकाश के पक्षियों, और पृथ्वी पर रेंगने वाले सब जन्तुओ पर अधिकार रखो।","और परमेश्वर ने उन को आशीष दी: और उन से कहा, फूलो-फलो, और पृथ्वी में भर जाओ, और उसको अपने वश में कर लो; और समुद्र की मछलियों, तथा आकाश के पक्षियों, और पृथ्वी पर रेंगने वाले सब जन्तुओ पर अधिकार रखो।"
29,verse,Genesis,1,29,"फिर परमेश्वर ने उन से कहा, सुनो, जितने बीज वाले छोटे छोटे पेड़ सारी पृथ्वी के ऊपर हैं और जितने वृक्षों में बीज वाले फल होते हैं, वे सब मैं ने तुम को दिए हैं; वे तुम्हारे भोजन के लिये हैं:","फिर परमेश्वर ने उन से कहा, सुनो, जितने बीज वाले छोटे छोटे पेड़ सारी पृथ्वी के ऊपर हैं और जितने वृक्षों में बीज वाले फल होते हैं, वे सब मैं ने तुम को दिए हैं; वे तुम्हारे भोजन के लिये हैं:"
30,verse,Genesis,1,30,"और जितने पृथ्वी के पशु, और आकाश के पक्षी, और पृथ्वी पर रेंगने वाले जन्तु हैं, जिन में जीवन के प्राण हैं, उन सब के खाने के लिये मैं ने सब हरे हरे छोटे पेड़ दिए हैं; और वैसा ही हो गया।","और जितने पृथ्वी के पशु, और आकाश के पक्षी, और पृथ्वी पर रेंगने वाले जन्तु हैं, जिन में जीवन के प्राण हैं, उन सब के खाने के लिये मैं ने सब हरे हरे छोटे पेड़ दिए हैं; और वैसा ही हो गया।"
